Customer: Premium $546.06, Excess $500, Half-excess 2, Category power, Postcode 2000, Sum insured $22222, Year built 2021, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $977.19, Excess $1000, Half-excess 2, Category power, Postcode 6163, Sum insured $70000, Year built 2011, Professionally built True, Water skiers 0, Previous claims 1. Credit risk: Bad
Customer: Premium $847.64, Excess $1000, Half-excess 2, Category power, Postcode 6023, Sum insured $25000, Year built 2003, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $330.02, Excess $500, Half-excess 1, Category power, Postcode 2770, Sum insured $20000, Year built 2005, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $1032.13, Excess $1250, Half-excess 2, Category power, Postcode 2023, Sum insured $50000, Year built 2005, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
Customer: Premium $418.00, Excess $375, Half-excess 1, Category power, Postcode 4818, Sum insured $40000, Year built 2020, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $455.52, Excess $750, Half-excess 2, Category power, Postcode 4214, Sum insured $52500, Year built 2019, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $254.84, Excess $950, Half-excess 2, Category power, Postcode 4208, Sum insured $12000, Year built 1998, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $443.88, Excess $1250, Half-excess 2, Category power, Postcode 3064, Sum insured $40000, Year built 1999, Professionally built True, Water skiers 0, Previous claims 0. Credit risk: Good
Customer: Premium $464.14, Excess $1000, Half-excess 2, Category power, Postcode 3064, Sum insured $20000, Year built 1999, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $464.14, Excess $1000, Half-excess 2, Category power, Postcode 3064, Sum insured $20000, Year built 1999, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Bad
Customer: Premium $464.14, Excess $1000, Half-excess 2, Category power, Postcode 3064, Sum insured $20000, Year built 1999, Professionally built True, Water skiers 1, Previous claims 0. Credit risk: Good
